,attendance,entry_mode,id,scheduled,status,utc_offset
213,69052,INGEST,4217745a-2090-4a0a-af07-75f107f919fc,2006-12-17T18:04:24+00:00,closed,-6
214,66583,INGEST,55263284-98cd-44a3-9dff-2383bf628f63,2006-12-18T01:22:29+00:00,closed,-8
215,71011,INGEST,99e00904-b010-4e6e-982f-c24dc2c5fbad,2006-12-17T18:03:06+00:00,closed,-5
216,69143,INGEST,9be2dfcf-e8a3-4a1f-89e0-7092142ceeb6,2006-12-17T18:03:16+00:00,closed,-6
217,71102,INGEST,9e08e05f-64e2-401a-b561-64dabad46dfe,2006-12-17T01:06:19+00:00,closed,-5
218,73798,INGEST,aab7880d-02a6-4b8a-84af-cd356c05c6d9,2006-12-17T18:03:38+00:00,closed,-5
219,67650,INGEST,b55e75f3-8c76-49c4-ae6f-66fa108f4de9,2006-12-15T01:12:43+00:00,closed,-8
220,62260,INGEST,ba08841c-20d4-41e2-afd4-50de3f2c60c2,2006-12-17T18:05:06+00:00,closed,-6
221,68756,INGEST,c7e60549-0194-43cd-9c1b-b6cab0657495,2006-12-17T18:02:47+00:00,closed,-5
222,70857,INGEST,d45a8e43-8078-4486-9505-583b35ab417b,2006-12-17T18:03:38+00:00,closed,-5
223,50164,INGEST,e7036312-ed4a-4156-a98a-8d4221bae9e9,2006-12-17T21:15:49+00:00,closed,-8
224,78539,INGEST,106d6f13-1b8e-4f2b-b322-0848aaf8c444,2006-12-24T18:04:05+00:00,closed,-5
225,68834,INGEST,151f6850-2b18-417b-86ce-44349e500d24,2006-12-24T18:03:39+00:00,closed,-5
226,67751,INGEST,187952ae-661c-4d7e-9ebb-08f51d70a98d,2006-12-24T21:05:58+00:00,closed,-8
227,62324,INGEST,414437c6-c35a-48b1-8da3-f97a072f315c,2006-12-24T18:02:57+00:00,closed,-6
228,70864,INGEST,55f81070-24a0-42aa-a367-508e6de99ce0,2006-12-22T01:05:57+00:00,closed,-6
229,54765,INGEST,5bfe6996-dbf3-495a-923e-dafdce4f80ce,2006-12-24T18:03:05+00:00,closed,-5
230,67164,INGEST,611518e0-ff05-4e05-878e-c0016b736ebb,2006-12-24T18:02:51+00:00,closed,-5
231,60665,INGEST,682c9988-5292-4e52-b529-d256ddc9f302,2006-12-24T18:03:25+00:00,closed,-5
232,73500,INGEST,74dbc941-6823-4db1-a758-62be58ea8933,2006-12-26T01:43:08+00:00,closed,-5
233,63224,INGEST,8e612b33-a304-4a98-97ba-afd3bbe1e27b,2006-12-24T18:02:42+00:00,closed,-5
234,62839,INGEST,9a0189af-4cf3-4f17-bedd-cc2cd1a1acc0,2006-12-25T22:08:01+00:00,closed,-6
235,70132,INGEST,a60fc59c-b4b3-456b-ac27-523b9f57fad1,2006-12-24T18:03:01+00:00,closed,-6
236,69603,INGEST,b43e1c95-46dd-4b1f-bb6a-408f780ea53f,2006-12-24T18:02:56+00:00,closed,-5
237,61446,INGEST,cb2f6806-cd4f-4534-aa9c-d9d84e53a582,2006-12-24T01:05:31+00:00,closed,-8
238,75759,INGEST,f86a341c-c46b-451a-bf94-308efa74292d,2006-12-24T21:16:26+00:00,closed,-7
239,68174,INGEST,fa7dd6ee-d701-4268-819e-78c51f04a1a5,2006-12-24T21:15:54+00:00,closed,-8
240,63008,INGEST,0c411a67-46fa-4b75-893c-45a97650e968,2006-12-31T18:02:54+00:00,closed,-6
241,70913,INGEST,29326faa-e895-4a02-8dd9-f4c3843332cc,2006-12-31T21:16:11+00:00,closed,-5
242,75555,INGEST,31d5e01f-60e9-4ec9-bd9f-0fec018fff4e,2006-12-31T21:16:10+00:00,closed,-7
243,69569,INGEST,355992f9-2f5c-4344-97ec-0fbb2dafcbfd,2006-12-31T18:03:37+00:00,closed,-6
244,86141,INGEST,44739258-5af4-4a58-8cc2-a510e98f307a,2006-12-31T01:05:04+00:00,closed,-5
245,66492,INGEST,51aca509-d5e4-4788-9e1c-8739d390cb8d,2006-12-31T21:15:29+00:00,closed,-8
246,78039,INGEST,85f64469-5498-49cc-b34a-f453be37a9f2,2006-12-31T18:02:54+00:00,closed,-5
247,63557,INGEST,8ff68a45-5da1-43e1-9870-eb007453df1c,2006-12-31T18:02:55+00:00,closed,-6
248,69143,INGEST,9a13da2b-338f-4cfc-ab78-d7b65e1d745d,2006-12-31T18:02:40+00:00,closed,-6
249,77500,INGEST,ad2cc23d-c847-4d6f-89cb-0e601172052a,2006-12-31T18:03:47+00:00,closed,-6
250,57310,INGEST,ca72010a-922a-4255-96e5-a36f8b9a9526,2006-12-31T21:16:03+00:00,closed,-5
251,65660,INGEST,cbbbb000-3d75-4238-b677-7c5621c3c2d7,2006-12-31T18:03:17+00:00,closed,-5
252,69341,INGEST,d2acc737-1137-41f8-a891-bdb9dcf53845,2006-12-31T21:15:18+00:00,closed,-5
253,66049,INGEST,d56cc82d-c113-4c84-8574-8f66220061e7,2006-12-31T18:03:15+00:00,closed,-5
254,70097,INGEST,f2aae051-218d-46de-9a7d-ffea198d2128,2006-12-31T18:02:33+00:00,closed,-6
255,62287,INGEST,f9050afb-4602-4c60-a6a3-f17fec4d1053,2007-01-01T01:15:50+00:00,closed,-6
