,attendance,entry_mode,id,scheduled,status,utc_offset,weather
155,68934,INGEST,c3b7ecff-27b0-4853-aef9-e7e96098d372,2007-11-18T18:02:57+00:00,closed,-5,
156,62960,INGEST,c6419f52-3948-4213-a7c9-a351d5db1c06,2007-11-18T18:02:30+00:00,closed,-6,
157,70780,INGEST,d6b2ef5a-91bb-46a3-b1d9-e7ad34cf1281,2007-11-18T18:03:57+00:00,closed,-6,
158,68039,INGEST,ed1c8226-92cd-455d-b784-9f8f6164aa74,2007-11-18T21:15:43+00:00,closed,-8,
159,69480,INGEST,f2529ee9-85f1-4dd2-a03d-c12a3d0d3a29,2007-11-18T18:02:59+00:00,closed,-5,
160,72032,INGEST,0fe14a08-2176-4c20-b8e5-64fe07f415dc,2007-11-25T18:03:09+00:00,closed,-5,
161,65489,INGEST,157d34e9-4f72-472b-891a-01b8c14fd7a2,2007-11-25T18:02:51+00:00,closed,-5,
162,78591,INGEST,2340c6f8-15a6-4eda-87de-9c729e536bf5,2007-11-25T18:03:22+00:00,closed,-5,
163,63337,INGEST,357f1351-b4c4-42de-884d-00e131348d6e,2007-11-25T21:15:28+00:00,closed,-8,
164,72730,INGEST,3d838f07-f4cc-4291-b0b5-383ebeedabe7,2007-11-25T18:02:54+00:00,closed,-5,
165,57704,INGEST,4bd18d6d-7e2c-4da9-9619-c21958911ddc,2007-11-27T01:55:46+00:00,closed,-5,
166,63257,INGEST,4f9c60b1-fced-4b38-a39f-0bacc5db8028,2007-11-22T17:36:42+00:00,closed,-5,
167,62148,INGEST,57e04b7d-c608-4892-9077-7ec57095f934,2007-11-25T21:16:24+00:00,closed,-6,
168,68756,INGEST,5ea77ca9-1b5c-4a0b-90d2-95473d26de76,2007-11-26T01:23:26+00:00,closed,-5,
169,64546,INGEST,868c76f1-efd1-42bf-93ed-02c6f87d85cd,2007-11-25T18:03:11+00:00,closed,-5,
170,64483,INGEST,975fd23b-b271-4ea2-9f00-464b316c9c60,2007-11-25T21:05:51+00:00,closed,-7,
171,69845,INGEST,9bc7a30c-01ea-4287-9b5a-9afbc22bc9c9,2007-11-23T01:16:01+00:00,closed,-5,
172,63315,INGEST,a51ba585-46ac-46bd-a988-668fc8ae8427,2007-11-22T21:17:08+00:00,closed,-6,
