,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset
143,60845,INGEST,d11618a3-20ff-47ac-ab22-f61509d9b5b3,144,55980,2013-11-10T21:26:00+00:00,closed,-7
144,69732,INGEST,df53a3dc-d4f5-4844-aa9b-47581f43ac83,143,55979,2013-11-10T21:05:23+00:00,closed,-8
145,73018,INGEST,eec8c2fc-e599-4eb0-8bb4-ceb229b706c0,146,55982,2013-11-11T01:30:50+00:00,closed,-6
146,80366,INGEST,f5c57c7d-16f8-4c8c-819b-4d3b7bbfe9a3,140,55976,2013-11-10T18:03:04+00:00,closed,-5
147,57905,INGEST,253ed1c1-3cb5-46e9-8d38-c345d3c6092f,156,55992,2013-11-17T18:03:14+00:00,closed,-5
148,55360,INGEST,4d940428-e35e-4ace-8d23-2a23d6c6520e,157,55993,2013-11-17T18:03:37+00:00,closed,-5
149,77076,INGEST,5256b0a0-ef98-4389-924d-01b2ed6347d4,158,55994,2013-11-18T01:30:46+00:00,closed,-7
150,69144,INGEST,5489901b-a1b1-44eb-92e4-c12dc06bfe78,155,55991,2013-11-17T18:03:01+00:00,closed,-5
151,59862,INGEST,a69d4ac6-d6bb-4c09-a7bc-4efd83f5edd6,153,55989,2013-11-17T18:04:15+00:00,closed,-5
152,63856,INGEST,aa5e2a6a-51c9-40c0-85ff-97b83dad7321,151,55987,2013-11-17T18:02:43+00:00,closed,-5
153,62367,INGEST,ac3fedac-1240-444e-b9d7-4c183e34d50d,150,55986,2013-11-17T18:02:34+00:00,closed,-6
154,71726,INGEST,bbe07916-8f81-4116-9f51-7db2aeba8c8d,152,55988,2013-11-17T18:03:01+00:00,closed,-6
155,68235,INGEST,bf2c3a79-7dab-435a-b2e8-faaf32b1c3e4,160,55996,2013-11-17T21:26:15+00:00,closed,-8
156,68036,INGEST,d40c2c71-1d87-42bd-ba73-e3f5a0923cf8,149,55985,2013-11-17T18:02:32+00:00,closed,-5
157,69143,INGEST,d9bcee64-af7e-4c9f-8f0d-976cc8b6bf9f,148,55984,2013-11-15T01:29:29+00:00,closed,-6
158,74225,INGEST,ee87810e-cc94-4d9b-9566-57e9beb7d43c,162,55998,2013-11-19T01:41:46+00:00,closed,-5
159,60256,INGEST,ef8b7683-6add-409f-8211-bf9636b3e24e,154,55990,2013-11-17T21:05:40+00:00,closed,-5
160,79114,INGEST,f8a1be80-f3d8-4fe6-aecf-21e76ba52661,161,55997,2013-11-17T21:25:28+00:00,closed,-5
161,73025,INGEST,ffd007f0-4232-4d9e-9dae-68111b051cfc,159,55995,2013-11-17T21:25:37+00:00,closed,-6
162,68756,INGEST,12e7f75b-fc51-479d-a0df-8fb55398560f,175,56011,2013-11-25T01:31:04+00:00,closed,-5
163,46001,INGEST,13037b8b-7a76-4d2a-9721-ea7d5f770c37,173,56009,2013-11-24T21:05:56+00:00,closed,-8
164,71148,INGEST,1a5f3ddb-d6cb-404e-9b44-ac539e309ba1,164,56000,2013-11-24T18:03:12+00:00,closed,-5
165,60156,INGEST,34058912-d9a6-41f3-baa9-edab82100225,170,56006,2013-11-24T18:03:14+00:00,closed,-5
166,80499,INGEST,63bf6a82-d3dc-4cd3-8df9-5a55348cb50e,174,56010,2013-11-24T21:25:24+00:00,closed,-5
167,66024,INGEST,6b7cb3b6-bfb8-4638-8776-913777155072,171,56007,2013-11-24T18:03:31+00:00,closed,-6
168,71513,INGEST,71882a6b-8d3b-46a1-9e3e-51512bbb780b,165,56001,2013-11-24T18:03:26+00:00,closed,-5
169,62098,INGEST,73e01826-3d28-48ad-9883-a5acaf767f19,166,56002,2013-11-24T18:03:46+00:00,closed,-5
170,79773,INGEST,7d134ccf-c0f3-4304-a5d1-470902750d63,176,56012,2013-11-26T01:40:41+00:00,closed,-5
171,77871,INGEST,89228027-f127-428b-8409-f7828a8342c0,167,56003,2013-11-24T18:03:14+00:00,closed,-6
172,71659,INGEST,95f09252-6f0a-4218-bce7-bde576d28998,168,56004,2013-11-24T18:02:41+00:00,closed,-6
173,60882,INGEST,ac2902ee-49c8-4a84-9dde-30c2fa68f910,172,56008,2013-11-24T21:05:24+00:00,closed,-7
174,70422,INGEST,e2135cc1-8b12-470e-8de0-94c503776e57,163,55999,2013-11-22T01:30:18+00:00,closed,-5
175,75259,INGEST,f354dcae-a85f-45b8-a926-18872a77e1e2,169,56005,2013-11-24T18:02:43+00:00,closed,-6
176,75220,INGEST,17d48893-149b-4772-92cc-dc778fd2a18b,191,56027,2013-12-02T01:30:55+00:00,closed,-5
177,69732,INGEST,287823a1-bd7e-4e77-b54d-6e0c4cbc49ba,188,56024,2013-12-01T21:05:51+00:00,closed,-8
178,38969,INGEST,3543954e-b2db-49a5-955a-4281c1e4c5f5,187,56023,2013-12-01T21:05:57+00:00,closed,-5
179,71005,INGEST,428b8a16-61c4-413a-a8e8-069efa78f8a9,179,56015,2013-11-29T01:32:03+00:00,closed,-5
180,87572,INGEST,4bfc4f52-35f9-493d-bda1-171daa426a15,178,56014,2013-11-28T21:31:34+00:00,closed,-6
181,65502,INGEST,4feed4c2-a965-45b1-b857-c2f1e2c77771,182,56018,2013-12-01T18:02:52+00:00,closed,-5
182,68387,INGEST,576bfe0c-6f41-4f46-b1db-f867b605578e,192,56028,2013-12-03T01:41:00+00:00,closed,-8
183,64134,INGEST,66e4c0fc-b75c-4ecb-a0fb-2c4459807237,184,56020,2013-12-01T18:03:05+00:00,closed,-6
184,69654,INGEST,6cc91b42-78e1-47ab-b574-acc4b70cd933,181,56017,2013-12-01T18:02:00+00:00,closed,-5
185,72795,INGEST,6d2ad37c-e74a-44c5-9db5-a6bba295bf29,180,56016,2013-12-01T18:04:13+00:00,closed,-5
186,64934,INGEST,ddcba74e-8269-49be-a581-8bda7350fc5d,177,56013,2013-11-28T17:36:33+00:00,closed,-5
187,77065,INGEST,e0a8585b-8d6b-446a-b6f6-67c4884b01d1,183,56019,2013-12-01T21:25:51+00:00,closed,-6
188,69144,INGEST,ef78d200-84e8-43c8-b5f2-9527b7b65a6a,186,56022,2013-12-01T18:02:33+00:00,closed,-5
189,71769,INGEST,f1620754-ba0c-42b4-94cd-33615963224a,189,56025,2013-12-01T18:02:36+00:00,closed,-6
190,61536,INGEST,f29fc024-b6a3-43ff-9446-cd222a65f190,190,56026,2013-12-01T21:25:43+00:00,closed,-8
191,76957,INGEST,f7e2539d-e237-46ff-a3be-0ba6b4cb46bb,185,56021,2013-12-01T18:02:57+00:00,closed,-5
192,69732,INGEST,0529bbee-e403-48c4-90d6-dc6b434799a6,206,56042,2013-12-08T21:26:00+00:00,closed,-8
193,70921,INGEST,05607db7-59cf-4acb-aa83-f352584bf668,194,56030,2013-12-08T18:04:05+00:00,closed,-5
194,76554,INGEST,089f468c-d6fb-4458-adea-ba30c6965d97,203,56039,2013-12-08T21:05:34+00:00,closed,-7
195,60414,INGEST,100b2034-4c3e-4fa3-bf87-aca4c99b30a2,193,56029,2013-12-06T01:29:27+00:00,closed,-5
196,77550,INGEST,476e617c-7ca2-4952-a420-7b7c94c1b1dc,207,56043,2013-12-08T18:03:16+00:00,closed,-6
197,52489,INGEST,4908d76e-8c92-41bc-8683-e95ff80e9400,200,56036,2013-12-08T18:02:29+00:00,closed,-5
198,62229,INGEST,792a5277-6f1d-4228-af16-878ff896ecf7,208,56044,2013-12-10T01:40:51+00:00,closed,-6
199,62507,INGEST,89eebd47-1360-456e-82c6-30f603b611c5,195,56031,2013-12-08T18:02:28+00:00,closed,-5
200,65132,INGEST,b937265e-4475-481d-a598-7e027ebc425b,205,56041,2013-12-08T21:25:45+00:00,closed,-8
201,59194,INGEST,cc87f6e5-bc5a-42fb-b858-746bc1690528,201,56037,2013-12-08T18:02:41+00:00,closed,-5
202,68756,INGEST,d442b3bc-7ba3-4ad9-91ba-2b856212419d,196,56032,2013-12-08T18:03:00+00:00,closed,-5
203,60643,INGEST,d72fde4a-2ed1-49af-b346-e1afd5be6484,204,56040,2013-12-08T21:26:43+00:00,closed,-7
204,56247,INGEST,d9a034e0-94bc-4656-8a4d-1459786308e5,202,56038,2013-12-08T18:02:54+00:00,closed,-5
205,76957,INGEST,dccdb33b-862a-4d03-9f47-9b0f596a5525,197,56033,2013-12-08T18:02:37+00:00,closed,-5
206,69144,INGEST,df54dac1-721f-4197-b366-5649dfa8d31f,199,56035,2013-12-08T18:04:00+00:00,closed,-5
207,73089,INGEST,e5ac19f4-2942-4e6d-8eda-1beca4e1388c,198,56034,2013-12-09T01:30:45+00:00,closed,-6
208,73251,INGEST,0affdcc6-87ee-4554-8032-40f82d93fece,220,56056,2013-12-15T21:06:14+00:00,closed,-5
209,49571,INGEST,0faa402c-e6c8-41ed-9bb6-b282c5faeea9,221,56057,2013-12-15T21:05:34+00:00,closed,-8
210,58442,INGEST,1ac5f6be-e662-4d0a-bd85-5e308a08ce52,217,56053,2013-12-15T21:25:40+00:00,closed,-6
211,65470,INGEST,26fe3c8e-216c-433d-9562-be92da490c1e,212,56048,2013-12-15T18:02:42+00:00,closed,-5
