,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset,weather
129,63623,INGEST,d26633b8-d3ec-49ab-a8a5-f4bb59a67fcf,120,55623,2012-11-04T18:02:26+00:00,closed,-5,
130,73099,INGEST,dd451e81-a4bb-46bb-aea2-d4883e684a52,132,55635,2012-11-06T01:40:26+00:00,closed,-6,
131,80991,INGEST,e3144922-b6c6-4587-8879-acbd9a04fab5,130,55633,2012-11-04T21:26:42+00:00,closed,-5,
132,57644,INGEST,0b9136b6-346f-48cb-aa65-1b217340c789,146,55649,2012-11-13T01:40:24+00:00,closed,-5,
133,60165,INGEST,3be3d922-0f1a-4f86-abc6-231218833764,137,55640,2012-11-11T18:03:04+00:00,closed,-5,
134,62410,INGEST,413e0815-d6fa-4c87-9cd1-0e95fe0f04d9,145,55648,2012-11-12T01:31:01+00:00,closed,-6,
135,69144,INGEST,43418344-87e8-4e42-b870-988341541ffd,143,55646,2012-11-11T21:26:00+00:00,closed,-5,
136,73939,INGEST,48160ea1-18b1-4c0a-8330-2e055572807d,135,55638,2012-11-11T18:02:55+00:00,closed,-5,
137,64059,INGEST,5736ec21-f0b7-4e7b-a809-ec1a8123fd4f,138,55641,2012-11-11T18:02:56+00:00,closed,-6,
138,71339,INGEST,731b96bf-7580-4cc2-82bc-8fa61bafa549,134,55637,2012-11-11T18:03:24+00:00,closed,-5,
139,63272,INGEST,868e2fdc-a515-4ed9-8e66-d25170f8a3e3,133,55636,2012-11-09T01:30:09+00:00,closed,-5,
140,69732,INGEST,87fe3139-4378-484e-a6d8-c28f94f346f7,144,55647,2012-11-11T21:26:01+00:00,closed,-8,
141,56614,INGEST,b7ed6f52-f4d5-4487-952c-84e582e18bb6,136,55639,2012-11-11T18:03:20+00:00,closed,-5,
142,54813,INGEST,ce2c97f4-6d01-4f2e-ba8b-1df529a238bd,141,55644,2012-11-11T18:03:06+00:00,closed,-5,
143,67841,INGEST,d922e55b-c7d9-4221-ba44-07e0e13aa354,142,55645,2012-11-11T21:05:44+00:00,closed,-8,
144,73126,INGEST,ed4ff082-457a-4cb2-8cb6-054943310885,140,55643,2012-11-11T18:02:51+00:00,closed,-6,
145,68756,INGEST,f14841c7-f684-4e1d-a434-63660db1d656,139,55642,2012-11-11T18:03:24+00:00,closed,-5,
146,68756,INGEST,5c1c76ce-a612-4244-87e7-91af73f9b0d9,154,55657,2012-11-18T21:26:22+00:00,closed,-5,"Clear and cool Temp: 42 F, Humidity: 62%, Wind: NNE 14 mph"
147,81936,INGEST,705b8290-bb28-4d9c-8d6f-4949b5f11a13,150,55653,2012-11-18T18:03:01+00:00,closed,-6,
148,71676,INGEST,76c38c3a-121d-46ba-9ab9-c926133187e1,152,55655,2012-11-18T18:02:39+00:00,closed,-6,
149,56880,INGEST,8d7975bd-7e20-4951-861d-f8f22f75d306,157,55660,2012-11-18T21:05:38+00:00,closed,-8,
150,57711,INGEST,97b78c85-0782-4f1b-8665-05879859df21,155,55658,2012-11-18T18:03:21+00:00,closed,-6,
151,72603,INGEST,9d287068-1bdf-441a-b16d-37436ce68b65,149,55652,2012-11-18T18:05:04+00:00,closed,-5,
152,69630,INGEST,a078fd59-409c-4403-9bf6-887fc3b4cd4a,148,55651,2012-11-18T18:03:07+00:00,closed,-5,
153,63446,INGEST,b0aefc0c-dd2c-43ed-9df3-b433420a217f,159,55662,2012-11-19T01:31:25+00:00,closed,-5,
154,63336,INGEST,b1d95871-c502-460c-8e5a-d7265ebfed45,153,55656,2012-11-18T18:03:12+00:00,closed,-6,
155,69118,INGEST,c40dcdf2-0abe-4e83-9eb4-f10b443e9987,147,55650,2012-11-16T01:29:53+00:00,closed,-5,
156,76769,INGEST,cb1dc503-de5d-479e-8538-4d5b845e2a9e,158,55661,2012-11-18T21:25:46+00:00,closed,-7,
157,63716,INGEST,cfcaece1-32d7-475c-84e6-1ee5920dbfee,151,55654,2012-11-18T18:02:40+00:00,closed,-5,
158,79327,INGEST,e2f7e169-ce18-40ce-a7fc-938a7e03e221,156,55659,2012-11-18T18:03:12+00:00,closed,-5,
159,69732,INGEST,f9cf9e59-51d7-4e01-977c-82081c976703,160,55663,2012-11-20T01:41:14+00:00,closed,-8,
160,74244,INGEST,17243217-181d-47c7-8104-4f2c9e4f56b7,169,55672,2012-11-25T18:02:39+00:00,closed,-6,
